coupon_id,coupon_code,discount_type,discount_value,minimum_order_value,maximum_discount,start_date,end_date,usage_limit,status
COUP001,WELCOME10JAN,Percentage,10,999,300,01-01-2023,31-03-2023,4500,Expired
COUP002,NEWUSER15Q1,Percentage,15,1499,400,01-01-2023,30-06-2023,3500,Expired
COUP003,FIRSTORDER500A,Fixed Amount,500,3999,500,05-01-2023,28-02-2023,2200,Expired
COUP004,REPUBLIC200A,Fixed Amount,200,1499,200,10-01-2023,26-01-2023,3000,Expired
COUP005,VALENTINE10A,Percentage,10,1299,350,05-02-2023,14-02-2023,2500,Expired
COUP006,HOLI300A,Fixed Amount,300,2499,300,01-03-2023,12-03-2023,3000,Expired
COUP007,SUMMER15A,Percentage,15,1999,500,15-04-2023,31-05-2023,4000,Expired
COUP008,ELECTRO10A,Percentage,10,2999,600,20-04-2023,20-05-2023,2800,Expired
COUP009,PREMIUM500A,Fixed Amount,500,4999,500,01-05-2023,31-05-2023,900,Expired
COUP010,MONSOON10A,Percentage,10,1499,300,20-06-2023,31-07-2023,3800,Expired
COUP011,WELCOME20JUL,Percentage,20,999,400,01-07-2023,30-09-2023,3000,Expired
COUP012,INDEPENDENCE300A,Fixed Amount,300,2499,300,01-08-2023,20-08-2023,3800,Expired
COUP013,RAKHI15A,Percentage,15,1999,500,20-08-2023,31-08-2023,2800,Expired
COUP014,COMEBACK250A,Fixed Amount,250,1999,250,01-09-2023,30-09-2023,1600,Expired
COUP015,FESTIVE10SEP,Percentage,10,1999,500,20-09-2023,15-10-2023,4200,Expired
COUP016,DIWALI500A,Fixed Amount,500,3999,500,25-10-2023,15-11-2023,4500,Expired
COUP017,DIWALI20A,Percentage,20,2999,750,25-10-2023,15-11-2023,3200,Expired
COUP018,VIP1000A,Fixed Amount,1000,7999,1000,01-11-2023,15-11-2023,500,Expired
COUP019,WINTER15A,Percentage,15,2499,600,20-11-2023,15-12-2023,2600,Expired
COUP020,CHRISTMAS400A,Fixed Amount,400,2999,400,05-12-2023,25-12-2023,3500,Expired
COUP021,YEAR300A,Fixed Amount,300,2499,300,15-12-2023,31-12-2023,4000,Expired
COUP022,LOYAL10JAN24,Percentage,10,1499,350,01-01-2024,31-03-2024,2800,Expired
