subcategory_id,category_id,subcategory_name,subcategory_status
SUB0001,CAT001,Android Smartphones,active
SUB0002,CAT001,iOS Smartphones,active
SUB0003,CAT001,Feature Phones,active
SUB0004,CAT002,Gaming Laptops,active
SUB0005,CAT002,Business Laptops,active
SUB0006,CAT002,Student & Everyday Laptops,active
SUB0007,CAT003,Android Tablets,active
SUB0008,CAT003,iPad Tablets,active
SUB0009,CAT003,Kids Tablets,active
SUB0010,CAT004,LED Televisions,active
SUB0011,CAT004,QLED Televisions,active
SUB0012,CAT004,OLED Televisions,active
SUB0013,CAT005,True Wireless Earbuds,active
SUB0014,CAT005,Over-Ear Headphones,active
SUB0015,CAT005,Neckband Headphones,active
SUB0016,CAT006,Bluetooth Speakers,active
SUB0017,CAT006,Home Audio Speakers,Active
SUB0018,CAT006,Portable Speakers,Active
SUB0019,CAT007,DSLR Cameras,Active
SUB0020,CAT007,Mirrorless Cameras,Inactive
SUB0021,CAT007,Action Cameras,Active
SUB0022,CAT008,Fitness Smartwatches,Active
SUB0023,CAT008,Premium Smartwatches,Active
SUB0024,CAT008,Kids Smartwatches,Active
SUB0025,CAT009,Computer Keyboards & Mice,Active
SUB0026,CAT009,Computer Monitors,Active
SUB0027,CAT009,Computer Storage & Components,Active
SUB0028,CAT010,Phone Cases & Covers,Active
SUB0029,CAT010,Chargers & Power Adapters,Active
SUB0030,CAT010,Power Banks,Active
SUB0031,CAT011,Gaming Consoles,Active
SUB0032,CAT011,Gaming Handhelds,Active
SUB0033,CAT011,Console Accessories,Active
SUB0034,CAT012,Inkjet Printers,Active
SUB0035,CAT012,Laser Printers,Active
SUB0036,CAT012,Scanners,Active
SUB0037,CAT013,T-Shirts & Tops,Active
SUB0038,CAT013,Shirts,Active
SUB0039,CAT013,Trousers & Jeans,Active
SUB0040,CAT014,Dresses & Gowns,Inactive
SUB0041,CAT014,Tops & Blouses,Active
SUB0042,CAT014,Ethnic Wear,Active
SUB0043,CAT015,Kids T-Shirts & Tops,Active
SUB0044,CAT015,Kids Dresses,Active
SUB0045,CAT015,Kids Bottomwear,Active
SUB0046,CAT016,Casual Shoes,Active
SUB0047,CAT016,Formal Shoes,Active
SUB0048,CAT016,Sandals & Slippers,Active
SUB0049,CAT017,Casual Shoes,Active
SUB0050,CAT017,Formal Shoes,Active
SUB0051,CAT017,Sandals & Slippers,Active
SUB0052,CAT018,Kids Casual Shoes,Active
SUB0053,CAT018,Kids School Shoes,Active
SUB0054,CAT018,Kids Sandals & Slippers,Active
SUB0055,CAT019,Handbags,Active
SUB0056,CAT019,Wallets & Purses,Active
SUB0057,CAT019,Backpacks,Active
SUB0058,CAT020,Analog Watches,Active
SUB0059,CAT020,Digital Watches,Inactive
SUB0060,CAT020,Smart & Hybrid Watches,Active
SUB0061,CAT021,Fashion Jewellery Sets,Active
SUB0062,CAT021,Necklaces & Pendants,Active
SUB0063,CAT021,Earrings & Bracelets,Active
SUB0064,CAT022,Fashion Sunglasses,Active
SUB0065,CAT022,Sports Sunglasses,Active
SUB0066,CAT022,Polarized Sunglasses,Active
SUB0067,CAT023,Suitcases,Active
SUB0068,CAT023,Travel Backpacks,Active
SUB0069,CAT023,Duffel & Travel Bags,Active
SUB0070,CAT024,T-Shirts & Jerseys,Active
SUB0071,CAT024,Sports Shorts & Trousers,Active
SUB0072,CAT024,Sports Tracksuits,Active
SUB0073,CAT025,Electric Kitchen Appliances,Active
SUB0074,CAT025,Food Preparation Appliances,Active
SUB0075,CAT025,Cooking Appliances,Active
SUB0076,CAT026,Non-Stick Cookware,Inactive
SUB0077,CAT026,Stainless Steel Cookware,Active
SUB0078,CAT026,Cast Iron Cookware,Active
SUB0079,CAT027,Cake Baking Supplies,Active
SUB0080,CAT027,Baking Trays & Pans,Active
SUB0081,CAT027,Baking Tools & Accessories,Active
SUB0082,CAT028,Dinner Sets,Active
SUB0083,CAT028,Serving Bowls & Platters,Active
SUB0084,CAT028,Tableware,Active
SUB0085,CAT029,Food Storage Containers,Active
SUB0086,CAT029,Kitchen Organizers,Active
SUB0087,CAT029,Pantry Storage,Active
SUB0088,CAT030,Sofas & Living Room Furniture,Active
SUB0089,CAT030,Beds & Bedroom Furniture,Active
SUB0090,CAT030,Tables & Chairs,Active
SUB0091,CAT031,Wall Decor,Active
SUB0092,CAT031,Decorative Accessories,Inactive
SUB0093,CAT031,Clocks & Mirrors,Active
SUB0094,CAT032,Bed Sheets,Active
SUB0095,CAT032,Blankets & Comforters,Active
SUB0096,CAT032,Pillows & Cushions,Active
SUB0097,CAT033,Bath Towels,Active
SUB0098,CAT033,Shower & Bath Accessories,Active
SUB0099,CAT033,Bathroom Storage,Active
SUB0100,CAT034,Cleaning Tools,Active
SUB0101,CAT034,Laundry Supplies,Active
SUB0102,CAT034,Household Cleaning Products,Active
SUB0103,CAT035,Ceiling & Pendant Lights,Active
SUB0104,CAT035,Table & Floor Lamps,Active
SUB0105,CAT035,Decorative Lighting,Active
SUB0106,CAT036,Hand Tools,Active
SUB0107,CAT036,Hardware & Fittings,Active
SUB0108,CAT036,Home Repair Supplies,Active
SUB0109,CAT037,Foundation Makeup,Active
SUB0110,CAT037,Concealers,Inactive
SUB0111,CAT037,Blush & Highlighters,Active
SUB0112,CAT038,Eyeshadow,Active
SUB0113,CAT038,Eyeliner & Kajal,Active
SUB0114,CAT038,Mascara,Active
SUB0115,CAT039,Lipsticks,Active
SUB0116,CAT039,Lip Gloss,Active
SUB0117,CAT039,Lip Liners,Active
SUB0120,CAT040,Makeup Accessories,Active
SUB0121,CAT041,Face Care,Active
SUB0122,CAT041,Body Care,Active
SUB0123,CAT041,Sun Care,Active
SUB0124,CAT042,Shampoo,Active
SUB0125,CAT042,Conditioner,Active
SUB0126,CAT042,Hair Treatments,Active
SUB0127,CAT043,Hair Styling Products,Active
SUB0128,CAT043,Hair Dryers & Straighteners,Active
SUB0129,CAT043,Hair Styling Accessories,Active
SUB0130,CAT044,Perfumes,Inactive
SUB0131,CAT044,Eau de Toilette,Active
SUB0132,CAT044,Body Mists,Active
SUB0133,CAT045,Nail Polish,Active
SUB0134,CAT045,Nail Tools,Active
SUB0135,CAT045,Nail Treatment,Active
SUB0136,CAT046,Body Wash & Shower Gel,Active
SUB0137,CAT046,Body Lotions & Creams,Active
SUB0138,CAT046,Bath Essentials,Active
SUB0139,CAT047,Beauty Gift Sets,Inactive
SUB0140,CAT047,Makeup Gift Sets,Inactive
SUB0141,CAT047,Skincare Gift Sets,Inactive
SUB0142,CAT048,Men's Shaving,Active
SUB0143,CAT048,Men's Hair Care,Active
SUB0144,CAT048,Men's Fragrances,Active
SUB0145,CAT049,Rice,Active
SUB0146,CAT049,Wheat & Other Grains,Active
SUB0147,CAT049,Specialty Grains,Active
SUB0148,CAT050,Lentils,Active
SUB0149,CAT050,Pulses,Active
SUB0150,CAT050,Beans & Peas,Inactive
SUB0151,CAT051,Wheat Flour,Active
SUB0152,CAT051,Baking Mixes,Active
SUB0153,CAT051,Baking Ingredients,Active
SUB0154,CAT052,Sunflower & Soybean Oil,Active
SUB0155,CAT052,Mustard Oil,Active
SUB0156,CAT052,Olive & Specialty Oils,Active
SUB0157,CAT053,Whole Spices,Active
SUB0158,CAT053,Ground Spices,Active
SUB0159,CAT053,Masala Blends,Active
SUB0160,CAT054,Chips & Crisps,Inactive
SUB0161,CAT054,Biscuits & Cookies,Active
SUB0162,CAT054,Namkeen & Savory Snacks,Active
SUB0163,CAT055,Soft Drinks,Active
SUB0164,CAT055,Juices,Active
SUB0165,CAT055,Tea & Coffee,Active
SUB0166,CAT056,Cereals,Active
SUB0167,CAT056,Oats & Muesli,Active
